iata,name,city,state,country,latitude,longitude
0H1,USBP,Wakeeney,KS,USA,39.0044525,-99.89289917
0I8,USBP,Cynthiana,KY,USA,38.36674167,-84.28410056
0J0,USBP,Abbeville,AL,USA,31.60016778,-85.23882222
0J4,USBP,Florala,AL,USA,31.04247361,-86.31156111
0J6,USBP,Headland,AL,USA,31.364895,-85.30965556
0K7,USBP,Humboldt,IA,USA,42.7360825,-94.24524167
0L5,USBP,Goldfield,NV,USA,37.71798833,-117.2384119
0L7,USBP,Jean,NV,USA,35.76827222,-115.3296378
0L9,USBP,Overton,NV,USA,36.31108972,-114.4638672
0M0,USBP,Dumas,AR,USA,33.8845475,-91.53429111
0M1,USBP,Parsons,TN,USA,35.63778,-88.127995
0M4,USBP,Camden,TN,USA,36.01122694,-88.12328833
0M5,USBP,Waverly,TN,USA,36.11659972,-87.73815889
0M6,USBP,Batesville,MS,USA,34.36677444,-89.90008917
0M8,USBP,Lake Providence,LA,USA,32.82587917,-91.187665
0O3,USBP,San Andreas,CA,USA,38.14611639,-120.6481733
0O4,USBP,Corning,CA,USA,39.94376806,-122.1713781
0O5,USBP,Davis,CA,USA,38.53146222,-121.7864906
0Q5,USBP,Shelter Cove,CA,USA,40.02764333,-124.0733639
0Q6,USBP,Shingletown,CA,USA,40.52210111,-121.8177683
0R0,USBP,Columbia,MS,USA,31.29700806,-89.81282944
0R1,USBP,Atmore,AL,USA,31.01621528,-87.44675972
0R3,USBP,Abbeville,LA,USA,29.97576083,-92.08415167
0R4,USBP,Vidalia,LA,USA,31.56683278,-91.50011889
0R5,USBP,Winnfield,LA,USA,31.96366222,-92.66026056
0R7,USBP,Coushatta,LA,USA,31.99071694,-93.30739306
0S7,USBP,Oroville,WA,USA,48.958965,-119.4119622
0S9,USBP,Port Townsend,WA,USA,48.04981361,-122.8012792
0V2,USBP,Salida,CO,USA,38.53916389,-106.0458483
0V3,USBP,Minden,NE,USA,40.5149125,-98.94565083
0V4,USBP,Brookneal,VA,USA,37.14172222,-79.01638889
0V6,USBP,Mission,SD,USA,43.30694778,-100.6281936
0V7,USBP,Kayenta,AZ,USA,36.70972139,-110.2367978
10C,USBP,Chicago/Greenwood/Wonderlake,IL,USA,42.40266472,-88.37588917
10D,USBP,Winsted,MN,USA,44.94996278,-94.0669175
10G,USBP,Millersburg,OH,USA,40.53716667,-81.95436111
10N,USBP,Wallkill,NY,USA,41.62787111,-74.13375583
10U,USBP,Owyhee,NV,USA,41.95323306,-116.1876014
11A,USBP,Clayton,AL,USA,31.88329917,-85.48491361
11D,USBP,Clarion,PA,USA,41.22581222,-79.44098972
11IS,USBP,Chicago/Schaumburg,IL,USA,42.04808278,-88.05257194
11J,USBP,Blakely,GA,USA,31.39698611,-84.89525694
11R,USBP,Brenham,TX,USA,30.219,-96.37427778
12C,USBP,Rochelle,IL,USA,41.89300139,-89.07829
12D,USBP,Tower,MN,USA,47.81833333,-92.29166667
12J,USBP,Brewton,AL,USA,31.05126306,-87.06796833
12K,USBP,Superior,NE,USA,40.04636111,-98.06011111
12Y,USBP,Le Sueur,MN,USA,44.43746472,-93.91274083
13C,USBP,Lakeview,MI,USA,43.45213722,-85.26480333
13K,USBP,Eureka,KS,USA,37.8515825,-96.29169806
13N,USBP,Andover,NJ,USA,40.96676444,-74.78016556
14J,USBP,Elba,AL,USA,31.40988861,-86.08883583
14M,USBP,Hollandale,MS,USA,33.18262167,-90.83065444
14Y,USBP,Long Prairie,MN,USA,45.89857556,-94.87391
15F,USBP,Haskell,TX,USA,33.19155556,-99.71793056
15J,USBP,Adel,GA,USA,31.13780556,-83.45308333
15M,USBP,Luka,MS,USA,34.7723125,-88.16587444
15Z,USBP,McCarthy,AK,USA,61.43706083,-142.9037372
16A,USBP,Nunapitchuk,AK,USA,60.90582833,-162.4391158
16G,USBP,Tiffin,OH,USA,41.09405556,-83.2125
16J,USBP,Dawson,GA,USA,31.74328472,-84.419285
16S,USBP,Myrtle Creek,OR,USA,42.99845056,-123.3095092
17G,USBP,Bucyrus,OH,USA,40.78141667,-82.97469444
17J,USBP,Donalsonville,GA,USA,31.00694444,-84.87761111
17K,USBP,Boise City,OK,USA,36.77430028,-102.5104364
17M,USBP,Magee,MS,USA,31.86127139,-89.80285361
17N,USBP,Cross Keys,NJ,USA,39.70547583,-75.03300306
17Z,USBP,Manokotak,AK,USA,58.98896583,-159.0499739
18A,USBP,Canon,GA,USA,34.34010472,-83.13348333
18I,USBP,Pine Knot,KY,USA,36.69591306,-84.39160389
19A,USBP,Jefferson,GA,USA,34.17402472,-83.56066528
19M,USBP,Lexington,MS,USA,33.12546111,-90.02555694
19N,USBP,Berlin,NJ,USA,39.77842056,-74.94780389
19P,USBP,Port Protection,AK,USA,56.32880417,-133.6100844
1A3,USBP,Copperhill,TN,USA,35.01619111,-84.34631083
1A5,USBP,Franklin,NC,USA,35.222595,-83.41904389
1A6,USBP,Middlesboro,KY,USA,36.6106375,-83.73741611
1A7,USBP,Gainesboro,TN,USA,36.39728139,-85.64164278
1A9,USBP,Prattville,AL,USA,32.438775,-86.51044778
1B0,USBP,Dexter,ME,USA,45.00839444,-69.23976722
1B1,USBP,Hudson,NY,USA,42.29130028,-73.71031944
1B3,USBP,Fair Haven,VT,USA,43.61534389,-73.27455556
1B9,USBP,Mansfield,MA,USA,42.00013306,-71.19677139
1C5,USBP,Chicago/Plainfield,IL,USA,41.69597444,-88.12923056
1D1,USBP,Milbank,SD,USA,45.23053806,-96.56596556
1D2,USBP,Plymouth,MI,USA,42.35003667,-83.45826833
1D3,USBP,Platte,SD,USA,43.40332833,-98.82952972
1D6,USBP,Hector,MN,USA,44.73107278,-94.71471333
1D7,USBP,Webster,SD,USA,45.29329111,-97.51369889
1D8,USBP,Redfield,SD,USA,44.86247611,-98.52953972
1F0,USBP,Ardmore,OK,USA,34.14698917,-97.12265194
1F1,USBP,Overbrook,OK,USA,34.07509694,-97.10667917
1F4,USBP,Madill,OK,USA,34.14040194,-96.81203222
1F9,USBP,Bridgeport,TX,USA,33.17533333,-97.82838889
