location,max_pop,longitude,latitude
Santo Domingo,2581827,-69.8933,18.4764
Xuanzhou,2580000,118.7518,30.9475
Sanming,2580000,117.6302,26.2658
Brooklyn,2559903,-73.9496,40.6501
Medellin,2529403,-75.5748,6.2447
Brisbane,2514184,153.0281,-27.4678
Baoshan,2506491,99.169,25.1211
Dubai,2502715,55.3094,25.2697
Luohe,2500000,114.0109,33.583
Qinbaling,2500000,107.64,35.7278
Mirzapur,2496970,82.58,25.15
Guangyuan,2484122,105.8398,32.4353
Cali,2471474,-76.5197,3.44
Daegu,2461002,128.6,35.8667
Fortaleza,2452185,-38.5275,-3.7275
Guatemala City,2450212,-90.5252,14.6099
Yaounde,2440462,11.5181,3.8578
Douala,2446945,9.7,4.05
Jilin,2396000,126.55,43.85
Lianshan,2426000,120.83,40.7503
Lincang,2429497,100.0871,23.8864
Antalya,2426356,30.6956,36.9081
Tashkent,2424100,69.2667,41.3
Huangshi,2419000,115.0326,30.2018
Bandung,2394873,107.5667,-6.95
Nagpur,2405665,79.0831,21.1539
Dandong,2400000,124.3833,40.1167
Huainan,2409000,117.0164,32.4831
Shangzhou,2400000,109.9244,33.868
Bekasi,2381053,107,-6.2333
Ghaziabad,2381452,77.4167,28.6667
Tijuana,2384609,-117.0333,32.525
Jiamusi,2360000,130.3653,46.8081
Yangjiang,2357000,111.9627,21.8556
Accra,2291352,-0.187,5.6037
Yuxi,2303518,102.5432,24.3495
Fushun,2300000,123.8917,41.8708
Anshun,2297612,105.934,26.2456
Vancouver,2264823,-123.1,49.25
Tangerang,2237006,106.6319,-6.1783
Konya,2232374,32.4847,37.8714
Queens,2230722,-73.7976,40.7498
Yingkou,2220000,122.2297,40.6653
Adana,2220125,35.325,37
Medan,2210625,98.6667,3.6667
Sanmenxia,2213000,111.195,34.7736
Indore,2201927,75.8472,22.7206
Ma'anshan,2202899,118.3605,31.7135
Pingliang,2190000,106.6819,35.5412
Quzhou,2185000,118.8763,28.9545
Baku,2181800,49.8352,40.3667
Gaoping,2174000,106.13,30.7804
Huaibei,2158000,116.789,33.9562
Xining,2154000,101.7787,36.6239
Yan'an,2150000,109.4863,36.5952
Havana,2141652,-82.3589,23.1367
Phnom Penh,2129371,104.921,11.5696
Fukuoka,2128000,130.4019,33.5903
Mogadishu,2120000,45.3425,2.0408
Jincheng,2120000,112.8483,35.4906
Lishui,2116957,119.9167,28.45
Qingyang,2111000,118.5792,24.8141
Riverside,2107852,-117.3948,33.9381
Baltimore,2106068,-76.6144,39.3051
Haiphong,2103500,106.6667,20.8
Las Vegas,2104198,-115.2654,36.2333
Laibin,2099711,109.2333,23.7333
Rawalpindi,2098231,73.0679,33.6007
Kumasi,2069350,-1.6167,6.6833
Portland,2074775,-122.65,45.5372
Vadodara,2065771,73.2,22.3
